"anonym_id","duration..in.seconds.","finished","recordeddate","dismiss_1","area","position","gender","age","country","country_other","category_of_work","general_feeling","general_feeling_cause","research_stage","interest","amusement","pride","joy","pleasure","contentment","love","admiration","relief","compassion","sadness","guilt","regret","shame","disappointment","fear","disgust","contempt","hate","anger","research_stage_feeling_cause"
1,214,TRUE,"2025-04-07 09:34:26","Yes","Social sciences","Full professor","Man",69,"Australia",NA,"Field research",2,"I am interested in the topics I research","Data analysis",5,1,4,4,4,4,1,3,5,6,2,1,1,1,1,0,1,0,0,0,"The research is both interesting and important for vulnerable people"
2,312,TRUE,"2025-04-07 09:34:45","Yes","Life sciences","Non-academic researcher","Man",60,"Spain",NA,"Field research",2,"","Reviews and revisions",7,1,3,1,1,0,0,0,0,0,6,0,6,0,6,0,6,0,0,0,""
3,226,TRUE,"2025-04-07 10:02:42","Yes","Life sciences","Associate professor","Man",48,"France",NA,"Lab/online research",1,"Overwork","Data analysis",4,1,4,1,1,1,1,1,4,1,1,0,3,2,5,1,0,0,0,3,""
4,268,TRUE,"2025-04-07 10:06:52","Yes","Life sciences","Non-academic researcher","Man",54,"Italy",NA,"Lab/online research",1,"Sometimes (not always) you have the chance to decide by yourself what to do and how; this is good but is also a responsibilityhow","Data analysis",6,5,5,4,4,4,0,0,0,0,1,1,3,1,3,1,1,1,1,2,"interest, since a research loves what he does"
5,298,TRUE,"2025-04-07 10:07:20","Yes","Life sciences","Full professor","Man",57,"France",NA,"Lab/online research",3,"Freedom and intellectually stimulating","Data collection",7,6,4,5,6,4,3,3,3,3,1,0,0,0,3,1,0,0,0,2,"The interest of the question"
6,1918,TRUE,"2025-04-07 10:12:58","Yes","Life sciences","Full professor","Man",58,"Netherlands",NA,"Clinical research",3,"Great to work on innovation","Project genesis/ first thoughts/ idea creation",6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,"Joy: it is fascinating to work on new plans and keep in mind that ""if your dreams don't scare you, there not big enough"
7,205,TRUE,"2025-04-07 10:30:25","Yes","Health sciences","Postdoc","Man",36,"France",NA,"Clinical research",2,"Field of clinical research and self management for projects ","Data analysis",7,7,6,6,6,5,6,5,7,0,1,0,1,0,2,0,0,0,0,1,"Accomplissement of loads of work "
8,558,TRUE,"2025-04-07 11:16:13","Yes","Social sciences","Postdoc","Woman",36,"Ireland",NA,"Field research",1,"I like doing research but I often have the sense that we are ""forced"" to prioritize career-related outputs (eg: number of publications) over benefit sharing","Preparations (IRB permit, preregistration, experiment preparations)",7,0,5,2,2,5,5,1,1,5,4,2,2,1,6,2,2,2,2,3,"I am interested, motivated and passionate about this project, but the IRB application process was unhelpfully long and really frustrating "
9,222,TRUE,"2025-04-07 11:34:32","Yes","Health sciences","Full professor","Man",64,"France",NA,"Lab/online research",2,"liberty","Preparations (IRB permit, preregistration, experiment preparations)",0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,"waste of time"
10,291,TRUE,"2025-04-07 13:46:58","Yes","Life sciences","Non-academic researcher","Man",55,"France",NA,"Lab/online research",2,"Intellectually and socially stimulating, enriching and interesting","Reality check (e.g., literature search, consultation with colleagues)",7,0,4,0,4,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,"Preparing a project for submission is always intellectually rewarding. Most of the feelings listed above (such as love, hate, disgust, etc.) do not describe at all feelings that I can have about my work."
11,413,TRUE,"2025-04-07 13:48:04","Yes","Social sciences","Research assistant","Woman",25,"China",NA,"Lab/online research",-1,"Little academic support from supervisor, long time for publication","Waiting for journal's response",2,1,2,2,1,1,2,0,2,0,5,2,1,0,4,3,1,0,4,5,"I am sad because I feel that my work may be not good enough and the publication process takes too much time while I can only wait"
12,254,TRUE,"2025-04-07 14:45:57","Yes","Health sciences","Postdoc","Woman",36,"Australia",NA,"Lab/online research",-1,"Overwork, unreasonable expectations, doing the job of multiple people","Project genesis/ first thoughts/ idea creation",2,0,0,0,1,2,0,0,0,0,4,2,5,3,5,7,4,5,2,4,"Fear of having to lead more work as others are not performing to an already very heavy workload I have, and due to the pressure to constantly say 'yes' in academia"
13,2064,TRUE,"2025-04-07 14:50:43","Yes","Health sciences","Associate professor","Man",56,"Egypt",NA,"Clinical research",-2," sleep deprivation  Lack of social life and detached from family","Report writing",7,0,3,1,1,1,0,1,4,0,3,0,0,0,2,0,0,0,0,0,"Lonliness as my intense work can't be shared with my  co-investigators or friends"
14,213,TRUE,"2025-04-07 15:04:31","Yes","Life sciences","Associate professor","Man",34,"United States of America",NA,"Clinical research",2,"I enjoy conducting research and see its value.","Data collection",6,3,5,3,4,4,1,2,2,3,3,3,4,2,3,3,2,0,0,1,"""Interest"" was the most intense feeling, and I believe this was due to excitement over a new, meaningful research project."
15,407,TRUE,"2025-04-07 16:13:34","Yes","Life sciences","Postdoc","Woman",33,"United States of America",NA,"Lab/online research",2,"Sense of accomplishment, freedom to choose what I work on, satisfaction from solving difficult problems ","Reality check (e.g., literature search, consultation with colleagues)",4,0,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,"I'm interested in the work and take pride in it, but I often wonder what if any real-world applications it will have and if it has any meaning at all outside of academics, which gives me contempt for the project. I then feel guilty about pursuing a project for which I doubt its usefulness, and also for having negative thoughts about the work and my collaborators."
16,246,TRUE,"2025-04-07 17:36:58","Yes","Life sciences","Full professor","Man",63,"United Kingdom of Great Britain and Northern Ireland",NA,"Lab/online research",2,"Enjoy discovering new facts","Data collection",5,0,3,2,1,3,0,1,2,0,2,2,3,2,3,2,0,0,0,0,"Hopeful idea not panning out. Maybe you need to add frustration to your list of emotions. I think that is a major one for scientists."
17,2562,TRUE,"2025-04-08 01:48:48","Yes","Social sciences","Associate professor","Man",35,"China",NA,"Lab/online research",3,"Enjoy conducting research","Report writing",3,5,7,7,7,7,7,7,5,7,0,0,0,0,0,0,0,0,0,0,"The sense of achievement and joy brought by scientific research."
18,346,TRUE,"2025-04-08 04:22:19","Yes","Health sciences","Full professor","Woman",52,"United States of America",NA,"Clinical research",1,"stress regarding funding, politics of research, slow pace of research, insufficient resources, never truly on vacation, cognitive load ","Data collection",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"It is interesting to interact with study participants and hear their thoughts about the topic of study."
19,321,TRUE,"2025-04-08 13:44:11","Yes","Health sciences","Full professor","Man",58,"Finland",NA,"Clinical research",-2,"continuously too much work and byrocracy","Report writing",6,1,4,3,3,0,2,2,0,3,3,2,2,0,6,5,1,0,5,5,"Anger and frustration with the work for several reasons (byrocracy, lack of resources and help, regulatory matters, lack of skilled people)"
20,216,TRUE,"2025-04-09 05:12:57","Yes","Health sciences","Full professor","Man",39,"China",NA,"Field research",1,"Flexible working hours","Waiting for journal's response",5,4,4,5,4,4,4,5,5,4,2,1,1,1,2,1,1,1,1,1,"-"
21,804,TRUE,"2025-04-16 23:36:27","Yes","Health sciences","Postdoc","Woman",35,"United States of America",NA,"Lab/online research",-2,"Huge funding cuts. Lots of (often unfair) rejection despite tons of hard work. Idiosyncratic, heavily flawed system of peer review and for-profit bloodsucking journals.","Reviews and revisions",3,0,3,1,1,1,0,0,0,0,7,0,5,7,7,0,7,7,7,7,"Having peer reviewers making absurd, nonsensical, uneducated comments (e.g., ""Were race, gender, and LGBT status self-reported? This can lead to bias."" Self-report is the only way to measure these constructs. There is no way to objectively measure LGBT status! Are we supposed to be observing sexual behavior in people's bedrooms?), and having idiotic editors back them up, leading to unfair rejections.

Not getting a job because of sexism and bias towards other candidates due to close personal connections."
23,103,TRUE,"2025-03-20 11:04:56","Yes","Social sciences","Full professor","Man",48,"Switzerland",NA,"Lab/online research",3,"autonomy","Project genesis/ first thoughts/ idea creation",7,7,5,7,7,7,6,7,2,3,0,0,0,0,0,0,0,0,0,0,"it is fun to do research"
24,397,TRUE,"2025-03-20 11:06:22","Yes","Health sciences","PhD student","Woman",39,"Thailand",NA,"Clinical research",0,"Uncertainty ","Data collection",7,7,0,2,2,3,0,7,7,3,0,0,7,7,7,7,0,4,3,7,"Its hard to tell, im doing research like what you do right now (questionnaire based) but i need to meet the participants in person, and people not always nice. "
25,341,TRUE,"2025-03-20 11:08:04","Yes","Health sciences","Associate professor","Woman",49,"Denmark",NA,"Clinical research",2,"I like my job and all the opportunities it offers","Report writing",6,4,5,5,5,5,0,3,4,1,1,0,0,0,1,0,1,1,0,0,"I enjoy the process of writing up the manuscrispt - "
26,472,TRUE,"2025-03-20 11:09:19","Yes","Life sciences","Associate professor","Man",53,"Switzerland",NA,"Lab/online research",1,"Precarity of my position and difficulty to get funding","Data collection",6,6,5,6,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I love experimental science, getting ideas, formulating hypotheses and finding ways to experimentally address them, interpret data and draw conclusions"
27,477,TRUE,"2025-03-20 11:09:59","Yes","Health sciences","Associate professor","Woman",50,"Sweden",NA,"Clinical research",2,"I find my work fun, satisfying and educative","Data collection",4,4,5,4,4,6,0,1,6,0,0,0,0,0,0,0,0,0,0,0,"Reliefed that the recruitment went better than expected, all participants are coming in and the data collection goes smooth and works well."
28,300,TRUE,"2025-03-20 11:14:16","Yes","Health sciences","Associate professor","Woman",37,"Australia",NA,"Field research",-1,"It's a lot of strong emotions in either directions. Sometimes I'm very negative, depending on how much is expected of me, grant rejections, lack of permanent position etc, but I truly love the work. So if I can get away from the negatives and focus on the work, I love it","Preparations (IRB permit, preregistration, experiment preparations)",5,3,3,1,2,0,0,0,0,0,5,4,0,0,5,5,0,0,0,7,"Because it's never just one thing happening. So I was planning field work and making sure all the training is going ahead while organising travel, but at the same time I'm writing two grants, I have phd students who need things, faculty responsibilities, responsibilities for other projects. "
29,338,TRUE,"2025-03-20 11:19:04","Yes","Life sciences","Associate professor","Woman",46,"Germany",NA,"Clinical research",2,"interesting job that has an impact","Data analysis",7,5,4,6,6,4,0,0,6,6,3,0,0,0,5,3,0,0,0,1,"great to have first results on a project, on the other hand fear that the project does not develop well and pressure to provide good results"
30,212,TRUE,"2025-03-20 11:20:43","Yes","Life sciences","Assistant professor","Woman",40,"Spain",NA,"Clinical research",2,"","Report writing",5,5,2,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
31,348,TRUE,"2025-03-20 11:24:15","Yes","Life sciences","Full professor","Man",60,"Spain",NA,"Field research",3,"Creative and independent","Data collection",6,5,4,5,5,3,2,4,3,2,4,5,4,4,4,1,1,1,1,1,"Data collection going more or less ok"
32,186,TRUE,"2025-03-20 11:28:12","Yes","Social sciences","Associate professor","Woman",54,"Italy",NA,"Field research",1,"I like my job but it is so demanding","Data analysis",5,4,5,4,6,5,4,5,6,5,3,0,0,0,3,3,0,0,0,3,""
33,212,TRUE,"2025-03-20 11:29:41","Yes","Life sciences","Postdoc","Woman",37,"United Kingdom of Great Britain and Northern Ireland",NA,"Clinical research",2,"Knowledge that my research has/will have impact on quality life of others","Report writing",5,4,6,4,4,5,2,4,6,1,1,0,0,0,0,3,0,0,0,2,"I am proud of what I and my team have achieved"
34,1986,TRUE,"2025-03-20 11:40:48","Yes","Social sciences","Postdoc","Man",35,"Germany",NA,"Lab/online research",2,"Freedom","Data collection",4,4,5,3,3,4,1,2,4,4,2,4,4,3,3,2,1,2,1,2,"Content and relieved because I completed interviews, and guilt because it sometimes took longer to transcribe them"
35,395,TRUE,"2025-03-20 11:42:52","Yes","Life sciences","Associate professor","Man",59,"Spain",NA,"Lab/online research",2,"Vocation. Alignment with my personal objectives in life","Data analysis",6,6,4,6,6,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,"Compassion, because we are developing suicide-prevention tools and the idea of preventing suicide is avoiding all the associated suffering is both moving and motivating  "
36,2300,TRUE,"2025-03-20 11:43:35","Yes","Health sciences","Postdoc","Woman",38,"Luxembourg",NA,"Clinical research",3,"Flexibility","Data analysis",5,4,4,4,4,3,2,4,5,4,4,3,5,2,5,5,1,4,1,1,"Insecurity"
37,301,TRUE,"2025-03-20 11:47:26","Yes","Life sciences","Postdoc","Woman",44,"Spain",NA,"Lab/online research",2,"variety of work and free schedule","Project genesis/ first thoughts/ idea creation",7,6,7,6,5,3,3,3,5,1,0,0,0,0,0,2,0,0,0,0,"Interest and pride were probably the highest feelings and they arose because I'm very proud of this project and I hope it gets funded"
38,306,TRUE,"2025-03-20 11:53:07","Yes","Physical sciences","Postdoc","Man",39,"South Korea",NA,"Lab/online research",1,"Sentience.","Report writing",5,6,1,2,1,1,1,1,1,1,2,1,1,1,4,1,3,1,1,1,"Nature is complicated."
39,724,TRUE,"2025-03-20 11:53:33","Yes","Health sciences","Full professor","Man",63,"United States of America",NA,"Clinical research",3,"That I have had the desire, ability, funding, and academic freedom to pursue my intellectual interests as an independent investigator for over 30 years","Data analysis",7,6,0,7,6,7,0,6,0,0,0,0,0,0,0,1,0,0,0,0,"The project in question in the last month has produced data that in my specific field is revelatory and enabling of new therapeutic possibilities for treating cancer. This circumstance of new knowledge creating new possibilities occurs every few years in my career, and I always feel grateful and happy to be a part of this critical process of discovery."
40,247,TRUE,"2025-03-20 11:57:42","Yes","Life sciences","Full professor","Man",49,"Netherlands",NA,"Lab/online research",2,"Great job, lots of freedom","Data analysis",7,6,7,7,7,6,6,6,3,6,0,0,0,0,1,0,0,0,0,1,"It is great fun to analyse and interpret data"
41,218,TRUE,"2025-03-20 12:05:47","Yes","Health sciences","Full professor","Man",42,"",NA,"Lab/online research",2,"good collaborations ","Reviews and revisions",6,6,6,6,5,6,3,5,5,5,1,1,1,1,1,1,1,1,1,1,""
42,347,TRUE,"2025-03-20 12:20:47","Yes","Health sciences","Assistant professor","Woman",35,"Egypt",NA,"Lab/online research",-2,"The financial load","Report writing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"I feel too much stress and no support either in writing or financial"
43,427,TRUE,"2025-03-20 12:36:42","Yes","Life sciences","Associate professor","Woman",42,"Brazil",NA,"Lab/online research",-2,"excessive work, deadlines, too much responsibility, lack of rest","Preparations (IRB permit, preregistration, experiment preparations)",6,3,7,3,3,4,1,5,1,1,4,3,2,2,6,5,5,0,0,0,""
44,163,TRUE,"2025-03-20 12:46:41","Yes","Health sciences","Full professor","Woman",33,"Spain",NA,"Field research",2,"social impact","Reality check (e.g., literature search, consultation with colleagues)",7,6,6,6,6,5,1,5,1,1,0,0,1,0,0,3,0,0,0,0,""
45,311,TRUE,"2025-03-20 13:35:04","Yes","Life sciences","Postdoc","Man",42,"Germany",NA,"Lab/online research",2,"I have a permanent position","Reviews and revisions",7,5,6,5,5,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,"Relief and interest because a manuscript was finally close to be accepted"
46,190,TRUE,"2025-03-20 13:51:19","Yes","Health sciences","Full professor","Woman",42,"France",NA,"Lab/online research",1,"We work on very important and fulfilling jobs, but the work overload can be stressful","Data collection",6,3,4,2,4,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Interest: data collection in this field is very useful and interesting, with a clear purpose and sense of participating in something worthy"
47,466,TRUE,"2025-03-20 14:03:46","Yes","Health sciences","Other","Man",35,"Canada",NA,"Lab/online research",1,"I happy to be pursuing truth which I believe is an inherent good. Of course, in doing so, I also hope to improve the lives of others. I would have rated my experiences more positively, but there always limitations on my ability to achieve these aims. ","Reviews and revisions",3,0,4,0,1,2,2,0,3,0,3,2,0,2,2,5,0,5,2,7,"I experienced profound anger throughout the revision process I was dealing with a very large dataset for the first time and the revisions required me to perform procedures that were initially beyond my abilities. Because of this, I ran into many issues and experienced intense anger and frustration. However, I was largely able to rectify the issues in time, but it was a frustrating process. "
48,134,TRUE,"2025-03-20 14:58:27","Yes","Social sciences","Associate professor","Man",42,"United States of America",NA,"Clinical research",3,"Doing work that I find meaningful, being able to ask questions I care about, working with dedicated colleagues and students","Data analysis",6,6,6,6,5,6,5,6,5,6,1,1,1,1,1,1,0,0,0,1,"Really caring about the topic we are studying"
49,15123,TRUE,"2025-03-20 16:05:43","Yes","Health sciences","Full professor","Man",51,"Brazil",NA,"Clinical research",2,"I am proud of the research papers I've published","Preparations (IRB permit, preregistration, experiment preparations)",7,5,7,5,5,5,0,6,1,1,0,0,0,0,0,1,0,0,0,0,"I am excited about planning a pioneer project on my research area"
50,683,TRUE,"2025-03-20 21:09:21","Yes","Health sciences","PhD student","Woman",45,"Netherlands",NA,"Clinical research",1,"I like the combination of research and work with patients in clinical practice. Research improviseer my clinical practice and work relationships. Negative is the need to find financial support and the effort to retrieve such grants. ","Post-project stage (you recently finished the project)",5,4,5,4,4,4,4,4,4,4,5,5,4,2,4,5,0,4,0,1,"Guilt. My PhD project lasted longe than anticipated. Therefore, I need to spend my sofa time doing research, while I want to spend time with my kids or mother. It is difficult to find a work-life balance."
51,295,TRUE,"2025-03-20 22:58:01","Yes","Health sciences","Full professor","Man",58,"Australia",NA,"Lab/online research",2,"Enjoyed my time doing research however administrative duties and increasingly difficult access to funding stops me ranking it the highest.","Data collection",7,3,3,3,6,6,3,3,5,3,0,0,0,0,0,0,0,0,0,0,"Passion for what I do"
52,136,TRUE,"2025-03-21 00:21:43","Yes","Life sciences","Assistant professor","Woman",43,"Japan",NA,"Clinical research",0,"","Reviews and revisions",4,4,4,4,4,4,4,3,3,3,2,1,1,1,3,1,1,1,1,3,""
53,294,TRUE,"2025-03-21 04:39:00","Yes","Physical sciences","Full professor","Man",42,"Australia",NA,"Lab/online research",3,"Freedom, curiosity and collegiality","Project genesis/ first thoughts/ idea creation",7,6,6,7,6,5,5,6,2,5,0,0,1,0,1,0,0,0,0,0,"The pleasure of being part of a problem much bigger than myself"
54,186,TRUE,"2025-03-21 07:10:16","Yes","Social sciences","PhD student","Woman",37,"Australia",NA,"Field research",2,"Working with people and learning about the world","Preparations (IRB permit, preregistration, experiment preparations)",5,2,3,2,2,5,5,5,5,5,1,1,1,1,1,1,0,0,0,0,"Interest. Problem solving and working out what steps go into planning process."
55,302,TRUE,"2025-03-21 07:16:15","Yes","Health sciences","Assistant professor","Woman",59,"Sweden",NA,"Lab/online research",1,"I love research, but the competitive environment makes me sad","Report writing",5,2,4,2,2,0,0,2,4,6,4,0,0,0,6,0,0,0,0,1,"That my coworkers didn't deliver as expected"
56,597,TRUE,"2025-03-21 07:18:37","Yes","Life sciences","PhD student","Man",25,"China",NA,"Lab/online research",-3,"Strees，meanless，interpersonal relationship","Project genesis/ first thoughts/ idea creation",7,3,1,3,3,1,1,1,1,1,5,6,2,6,3,7,0,0,0,0,"Lack of identification and external support"
57,142,TRUE,"2025-03-21 16:08:48","Yes","Health sciences","Full professor","Man",57,"Netherlands",NA,"Clinical research",2,"independent work","Project genesis/ first thoughts/ idea creation",6,5,6,6,6,6,6,5,6,6,0,0,0,0,0,0,0,0,0,0,"interest, because project is interesting"
58,306,TRUE,"2025-03-24 08:28:59","Yes","Health sciences","PhD student","Woman",44,"Sweden",NA,"Field research",-1,"Stress","Report writing",6,4,4,5,4,1,0,0,0,0,0,4,0,5,4,4,0,5,0,2,"Passion for the research subject"
59,696,TRUE,"2025-03-24 15:27:30","Yes","Health sciences","Assistant professor","Woman",32,"Hungary",NA,"Clinical research",2,"I enjoy having a shared field of interest, and a shared language with like minded individuals all over the globe. Nerding about my topic is bubble.","Report writing",5,5,6,5,2,3,3,4,5,4,3,5,4,4,4,5,5,2,5,5,"My last 2 months were an emotional rollercoaster. I came the closest ever wanting to stop research altogether. But I overcome by feeling the feeling of pride. An probably this is the most intense feeling I have through all the guilt or anger, I know I do good work. I know I do the best I can and it fills me with pride even on the hardest of days. "
60,263,TRUE,"2025-03-25 14:19:14","Yes","Health sciences","Assistant professor","Man",37,"Spain",NA,"Lab/online research",2,"Freedom of time schedule and feeling passionate about what I do on my daily basis.","Report writing",3,4,7,5,4,4,6,7,6,0,0,0,3,1,3,2,0,0,0,1,"I feel pride because the project was my idea and I am working on something difficult which was my idea and that I understand. "
61,206,TRUE,"2025-03-25 14:23:12","Yes","Health sciences","Full professor","Man",70,"Italy",NA,"Lab/online research",3,"discovery","Data collection",5,3,1,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"again discovery"
62,236,TRUE,"2025-03-25 14:24:03","Yes","Health sciences","Full professor","Man",45,"Norway",NA,"Clinical research",3,"Creation and exploration. Solving challenges, discovering new knowledge and constantly aiming for new frontiers.  Who wouldn't love this?!","Preparations (IRB permit, preregistration, experiment preparations)",6,4,6,6,5,3,2,1,4,1,3,0,0,0,1,2,0,0,1,4,"dong something groundbreaking and novel"
63,325,TRUE,"2025-03-25 14:28:34","Yes","Health sciences","Full professor","Man",70,"United States of America",NA,"Lab/online research",3,"satisfaction with my research","Report writing",7,2,5,5,5,7,3,5,5,2,0,0,0,0,0,0,0,0,0,0,"Understanding research goals"
64,368,TRUE,"2025-03-25 14:50:56","Yes","Health sciences","Full professor","Woman",56,"United Kingdom of Great Britain and Northern Ireland",NA,"Lab/online research",1,"I used to love it, but insecurity about research funding and acceptance of findings by governments has reduced my enthusiasm","Preparations (IRB permit, preregistration, experiment preparations)",5,5,4,5,5,5,4,4,6,4,1,1,1,1,1,1,0,1,0,1,"Relief.  Our newest grant means that my university position is safe for another three years and I will receive income.  It should not be this way as I am a very experienced and successful Professor.  But uncertainty in the higher education sector means that I do not enjoy research as much and I'm probably not as committed."
