"anonym_id","duration..in.seconds.","finished","recordeddate","dismiss_1","area","position","gender","age","country","country_other","category_of_work","general_feeling","general_feeling_cause","research_stage","interest","amusement","pride","joy","pleasure","contentment","love","admiration","relief","compassion","sadness","guilt","regret","shame","disappointment","fear","disgust","contempt","hate","anger","research_stage_feeling_cause"
65,306,TRUE,"2025-03-25 14:54:48","Yes","Health sciences","Associate professor","Woman",49,"Italy",NA,"Lab/online research",2,"passion, so that even hard and tough days are positive days","Post-project stage (you recently finished the project)",5,3,5,1,3,0,0,0,7,4,5,0,1,0,5,5,5,0,5,5,"Releife because huge project ended, satisfy for great data collected, but hunger and disappointment versus partner not fear and respectfull of my work"
66,280,TRUE,"2025-03-25 15:39:11","Yes","Health sciences","Postdoc","Woman",61,"United Kingdom of Great Britain and Northern Ireland",NA,"Clinical research",1,"Financial situation","Reviews and revisions",5,4,5,5,5,5,4,4,5,4,5,5,4,4,4,5,4,4,4,4,"Biggest problem not being paid for work, difficulties with obtaining grants"
67,260,TRUE,"2025-03-25 15:55:47","Yes","Health sciences","Associate professor","Woman",40,"Canada",NA,"Clinical research",2,"I like the job, but funding is the main challenge","Preparations (IRB permit, preregistration, experiment preparations)",5,1,3,5,5,7,0,1,1,4,0,0,0,0,0,0,0,0,0,0,"Working with students and mentoring"
68,332,TRUE,"2025-03-25 16:05:46","Yes","Social sciences","PhD student","Prefer not to say",32,"United States of America",NA,"Lab/online research",1,"I hugely enjoy all aspects of research. Elements of the context in which research is conducted diminish my enjoyment (e.g., low pay, job insecurity)","Reviews and revisions",6,4,5,5,5,5,5,3,6,4,5,3,4,6,4,5,1,5,3,3,"I was worried I wouldn't be able to respond to one of the suggested revisions adequately, but I was able to, and it made the project better, which was both interesting and exciting"
69,139,TRUE,"2025-03-25 16:14:01","Yes","Social sciences","Postdoc","Woman",30,"United States of America",NA,"Lab/online research",1,"Workload, (inspiring) tasks, freedom to work when and where I want to","Waiting for journal's response",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"No real feelings about waiting for journal's response except for a bit of annoyance since it's taking very long to hear back"
70,1030,TRUE,"2025-03-25 16:16:31","Yes","Health sciences","PhD student","Woman",40,"Denmark",NA,"Clinical research",2,"flexible workhours and interesting work with no nightshifts","Data collection",5,1,4,2,1,4,0,1,2,2,1,0,1,0,2,1,0,0,0,0,""
71,388,TRUE,"2025-03-25 17:42:46","Yes","Social sciences","Postdoc","Woman",30,"Canada",NA,"Lab/online research",0,"conflicting feelings towards research ","Preparations (IRB permit, preregistration, experiment preparations)",6,0,4,1,5,3,5,2,1,6,3,5,1,4,1,6,0,1,0,0,"Interest & Compassion are the feelings that motivate my research work
Fear is caused by the possibility of making mistakes and imposter syndrome "
72,283,TRUE,"2025-03-25 18:13:55","Yes","Health sciences","Full professor","Man",43,"Ecuador",NA,"Lab/online research",2,"time schedule and salary","Reviews and revisions",5,5,5,5,5,0,0,0,5,0,0,0,0,0,2,0,2,0,0,0,"I described my feeling related to the skill ""review and revision"". So far, these feelings were caused by the type of reviews received."
73,287,TRUE,"2025-03-25 20:07:30","Yes","Health sciences","Postdoc","Woman",52,"New Zealand",NA,"Clinical research",1,"","Data collection",6,4,6,4,6,6,3,5,6,3,0,0,2,0,0,0,0,0,0,0,"Pride- it’s a good project that will be useful "
74,799,TRUE,"2025-03-25 22:43:09","Yes","Social sciences","Assistant professor","Man",37,"Canada",NA,"Lab/online research",2,"Freedom to study and teach what I want -- the (general) security offered by academic life.","Report writing",5,4,6,3,5,6,1,2,6,1,0,2,2,0,0,2,0,0,0,1,"Excitement about seeing a project come together after several years of work"
75,10213,TRUE,"2025-03-25 22:49:46","Yes","Life sciences","Full professor","Man",48,"Spain",NA,"Lab/online research",2,"fulfilled","Data analysis",5,2,3,4,4,4,3,2,3,1,1,1,2,1,2,2,0,1,0,1,"satisfaction for work"
76,117,TRUE,"2025-03-25 23:32:01","Yes","Life sciences","Full professor","Man",52,"Australia",NA,"Lab/online research",3,"independence/freedom","Data analysis",7,6,5,7,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"challenge"
77,241,TRUE,"2025-03-26 02:06:27","Yes","Life sciences","Full professor","Man",60,"China",NA,"Lab/online research",3,"I love my career","Reviews and revisions",3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,"No"
78,206,TRUE,"2025-03-26 07:18:59","Yes","Health sciences","Assistant professor","Man",39,"Singapore",NA,"Lab/online research",2,"The work is valuable, and I am lucky to have a relatively secure position, pending tenure","Project genesis/ first thoughts/ idea creation",6,0,5,2,2,3,0,0,0,0,0,0,1,0,4,0,0,0,0,0,"The project is interesting, and that interest is my main motivation in pursuing it"
79,678,TRUE,"2025-03-26 08:01:57","Yes","Health sciences","Full professor","Woman",50,"Turkey",NA,"Clinical research",1,"Sometimes I despair","Data collection",6,4,6,4,4,4,4,4,6,4,3,3,3,3,3,3,3,3,3,3,"Sometimes I despair"
80,273,TRUE,"2025-03-26 10:20:28","Yes","Health sciences","Associate professor","Woman",36,"France",NA,"Clinical research",2,"Completion , learning processes","Report writing",5,3,6,5,5,6,0,0,6,0,1,0,0,2,1,3,0,0,0,0,""
81,698,TRUE,"2025-03-27 18:00:28","Yes","Social sciences","Other","Man",45,"Israel",NA,"Lab/online research",1,"I feel positively about conducting research in fields of my interest and expertise, about gaining knowledge and putting interesting questions and hypothesis into test.  I mostly feel negatively about this work having very little financial benefits and it often feels exploitative  and unrewarding ","Post-project stage (you recently finished the project)",5,5,6,5,6,6,0,0,3,0,0,0,0,0,0,0,0,5,0,6,"I was generally happy with the scientific process, which made me proud and content. I was generally displeased with the attitude I received as a researcher,  which consisted of very low pay,  high requirements, little respect for my time and effort, and expectation for me to solve various problems which are outside my field of expertise. "
82,141,TRUE,"2025-04-02 13:36:16","Yes","Social sciences","Assistant professor","Man",34,"Germany",NA,"Lab/online research",2,"I can explore interesting questions and talk to brillant people about stuff that i find genuinely interesting and important","Waiting for journal's response",5,4,4,4,5,6,0,0,1,0,4,2,3,2,5,0,0,4,0,2,"Science is hard"
83,340,TRUE,"2025-04-02 13:37:55","Yes","Health sciences","PhD student","Woman",29,"United States of America",NA,"Clinical research",1,"I love providing participants with no-cost access to clinical interventions that can help support their toolbox of coping skills and overall health and well-being. However, I indicated only a +1 because the PI (my advisor) on these projects is challenging to work with, a sentiment held across students and coordinators who work with her. ","Data collection",4,4,6,5,6,7,5,4,5,7,4,0,1,0,1,0,0,0,0,1,"Cotentment comes from a deep satisfaction of meeting study candidates to do one hour screening visits, hearing peoples' stories, and helping connect them to resources that are deemed most appropriate given their presenting concerns and goals (sometimes including the study and other times including community resources). It's a rewarding experience to help individuals navigate local opportunities and become better resourced, as our current help-seeking system is not intuitive or easy!"
84,150,TRUE,"2025-04-02 13:41:49","Yes","Social sciences","Full professor","Man",40,"Norway",NA,"Lab/online research",2,"Freedom with time and research focus","Waiting for journal's response",5,0,4,3,4,3,0,5,7,0,3,0,0,0,0,3,0,0,2,2,""
85,248,TRUE,"2025-04-02 13:44:41","Yes","Health sciences","Full professor","Man",68,"Canada",NA,"Lab/online research",2,"Feelings that I am contributing to science, society and that I am productive and respected.","Report writing",6,0,4,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"My scientific curiosity"
86,378,TRUE,"2025-04-02 13:45:26","Yes","Life sciences","Full professor","Man",36,"China",NA,"Lab/online research",1,"i feel stressful in application of research project and handling of carring out","Report writing",0,1,1,1,1,1,1,1,1,1,4,4,4,4,1,1,1,1,1,1,"alway in urgent time and ask for satisfatory results"
87,223,TRUE,"2025-04-02 13:45:35","Yes","Health sciences","Assistant professor","Woman",37,"Spain",NA,"Clinical research",2,"My work is engaging (i enjoy many parts of it) and it is beneficial for society (I feel useful)","Data collection",5,3,5,5,5,6,1,1,7,0,1,1,3,0,1,5,0,0,0,0,"Relief. There were many possible complications that coudl happen during data collection that did not."
88,390,TRUE,"2025-04-02 13:51:33","Yes","Health sciences","Full professor","Man",80,"Canada",NA,"Clinical research",3,"satisfaction with contributing to knowledge in my field, pride from having >600 publications","Data collection",6,3,6,3,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"My high level of interest is based in curiosity. Pleasure is based in accomplishment of a challenging task."
89,265,TRUE,"2025-04-02 13:54:12","Yes","Health sciences","Associate professor","Man",34,"Turkey",NA,"Lab/online research",2,"Working in a specific area.","Report writing",4,4,4,4,4,4,4,4,5,4,0,0,0,0,0,0,0,0,0,0,"I feel moderately good at this project, because I could not focus the research 100% percent."
90,141,TRUE,"2025-04-02 13:54:16","Yes","Social sciences","Assistant professor","Woman",36,"Netherlands",NA,"Lab/online research",2,"I think what I do is worthwile but it can also be quite challenging due to the sensitive nature of the topic","Reviews and revisions",6,3,5,5,5,5,2,2,2,4,4,2,2,2,3,4,5,5,5,5,"Interest, this project is topically relevant and there has been some societal interest in it in the last few weeks"
91,333,TRUE,"2025-04-02 13:56:57","Yes","Health sciences","Assistant professor","Woman",43,"Netherlands",NA,"Clinical research",1,"I like research a lot, but I have other tasks related to education and development of education. Therefore, I cannot expand as many time as I would like to in research.","Data analysis",7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,"We carried out an interesting and pioneering study and we are also innovating in the statistical analysis. I am very excited with the results we got and looking forward to work on the report."
92,213,TRUE,"2025-04-02 14:10:53","Yes","Health sciences","Full professor","Man",51,"India",NA,"Lab/online research",2,"I like scientific work and teaching ","Project genesis/ first thoughts/ idea creation",5,4,5,4,4,4,4,5,4,5,3,2,2,2,2,1,2,2,2,3,"trying to get a project "
93,226,TRUE,"2025-04-02 14:11:03","Yes","Health sciences","Assistant professor","Woman",35,"Singapore",NA,"Field research",-1,"Stress ","Data analysis",5,4,6,5,5,5,4,3,5,4,2,0,1,0,1,0,0,0,0,0,"Stress "
94,207,TRUE,"2025-04-02 14:12:03","Yes","Social sciences","Full professor","Woman",45,"Netherlands",NA,"Lab/online research",1,"autonomy, working in diverse teams, ","Report writing",6,3,1,4,4,4,1,1,2,1,4,7,6,2,4,4,1,1,1,4,"lack of progress, disappointment in contribution of colleagues, in oneself for not monitoring well"
95,452,TRUE,"2025-04-02 14:19:25","Yes","Life sciences","Other","Woman",38,"Austria",NA,"Field research",1,"Interesting and fun, but lot of stress","Data collection",6,5,5,4,4,5,2,3,1,1,0,0,0,1,1,0,0,0,0,1,""
96,301,TRUE,"2025-04-02 14:19:39","Yes","Social sciences","PhD student","Man",32,"Germany",NA,"Lab/online research",2,"freedom and autonomy in my daily work","Data analysis",6,3,5,5,5,5,2,1,5,5,3,1,2,1,2,4,1,1,1,2,"interest: i'm really curious about what data analysis will result in (there will be findings from the data itself and from the literature I read to further gain an overall understanding of the field and my data)"
97,283,TRUE,"2025-04-02 14:21:04","Yes","Life sciences","Full professor","Man",60,"United States of America",NA,"Lab/online research",3,"enjoy the profession to be a scientist","Data analysis",7,4,6,5,5,4,5,6,5,6,2,0,0,0,2,0,0,0,0,1,""
98,348,TRUE,"2025-04-02 14:34:24","Yes","Social sciences","Full professor","Man",52,"Croatia",NA,"Lab/online research",1,"I like doing my research","Report writing",6,6,6,6,6,7,7,7,7,1,1,1,2,2,2,4,1,1,1,1,"I experience joy of finishing my paper of which I am very proud"
99,257,TRUE,"2025-04-02 14:52:55","Yes","Social sciences","Associate professor","Woman",46,"Canada",NA,"Lab/online research",2,"The autonomy to answer questions I care about","Project genesis/ first thoughts/ idea creation",6,5,1,1,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,"It's fun to design a project with collaborators, and at the beginning stages, none of your brilliant ideas have been proven wrong yet!"
100,518,TRUE,"2025-04-02 15:19:26","Yes","Health sciences","Full professor","Woman",78,"Canada",NA,"Clinical research",3,"Enjoying answering research questions and identifying new ones","Data analysis",7,6,7,7,7,7,7,4,5,4,0,0,0,0,0,0,0,0,0,0,"Generally extremely happy to complete my investigations and submit the manuscript for publication "
101,193,TRUE,"2025-04-02 15:22:49","Yes","Health sciences","Assistant professor","Man",44,"Belgium",NA,"Field research",3,"Interesting topic that gains a lot of attention","Report writing",7,7,7,7,7,6,5,5,6,0,0,0,0,0,0,0,0,0,0,0,"Again the topic gained lots of attention, resulting in a lot of participants. The results are enlightening. "
102,208,TRUE,"2025-04-02 16:55:07","Yes","Health sciences","Non-academic researcher","Woman",64,"Italy",NA,"Clinical research",1,"I'd love to do more research but time is not enough","Preparations (IRB permit, preregistration, experiment preparations)",6,3,6,5,5,5,1,4,2,0,2,0,1,0,1,1,0,0,0,0,""
103,543,TRUE,"2025-04-02 17:38:00","Yes","Health sciences","Full professor","Woman",46,"Germany",NA,"",0,"There are many nice colleagues who are fair and constructive; but also ""unethical"" colleagues who envy other's success, write unfair reviews (to push own fellows and suppress others) etc.","Project genesis/ first thoughts/ idea creation",7,2,6,7,7,0,0,2,2,2,6,0,0,0,7,2,6,7,7,7,"Colleague stealing research ideas and afterwards claiming prominent authorship positions on publications"
104,94,TRUE,"2025-04-02 19:21:07","Yes","Health sciences","Assistant professor","Woman",38,"United States of America",NA,"Lab/online research",-2,"lack of support by institution","Preparations (IRB permit, preregistration, experiment preparations)",4,3,2,3,3,3,3,3,3,3,4,2,2,2,2,2,2,2,2,2,""
105,413,TRUE,"2025-04-02 20:50:01","Yes","Social sciences","Postdoc","Woman",35,"United States of America",NA,"Lab/online research",3,"doing something meaningful, following my passion, having control over what I study","Report writing",6,4,5,4,6,6,0,5,6,0,0,0,2,3,2,3,0,0,0,1,"I felt contentment because I was working on something I enjoyed and had already put a lot of work into, I was content to be writing up results."
106,368,TRUE,"2025-04-02 21:24:57","Yes","Health sciences","Associate professor","Man",48,"United States of America",NA,"Clinical research",2,"I enjoy the research process, and I enjoy being able to help patients through clinical research","Data collection",6,5,7,6,6,5,NA,5,5,6,2,3,3,0,2,2,0,0,0,0,"I take great pride in having be able to develop our very large clinical trial to the point that we are now collecting data. It has taken years of work to get to this point."
107,381,TRUE,"2025-04-02 22:22:13","Yes","Health sciences","Full professor","Man",73,"United States of America",NA,"Lab/online research",3,"Success in the field in promoting my ideas.  Also the opportunity to change health-related procedures by doctors and the FDA","Project genesis/ first thoughts/ idea creation",4,0,3,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I derived pleasure and interest because this is a new idea and we are proposing to study something that has not been well studied.  It also crosses interdisciplinary boundaries"
108,501,TRUE,"2025-04-03 13:50:04","Yes","Social sciences","Full professor","Man",64,"United States of America",NA,"Lab/online research",3,"Discovery, challenge, freedom to pursuit my curiosities, interactions with students","Data collection",5,4,5,5,5,5,2,0,0,0,0,0,0,0,3,0,2,0,0,0,"Interest:  The main cause of my intense feeling of interest was my sense of potential to discover something previously unknown."
109,672,TRUE,"2025-04-05 14:43:01","Yes","Health sciences","Assistant professor","Man",32,"Spain",NA,"Field research",-2,"Overwork, lack of time for family and friends, and the pressure to build an impactful career are often associated with neglecting other important aspects of life or resorting to poor practices — or even pushing others to do the work for you.","Report writing",2,2,2,2,2,1,1,2,1,2,6,6,7,7,7,2,5,5,7,7,"Lack of guidance, inheriting poorly prepared projects from senior researchers, and receiving no support were key issues. Supervisors often had no idea how the work was progressing. There was a massive list of authors who were unfamiliar with the process, analysis, or even the topic itself, so no real solutions were provided. As a result, each paper took an average of 4–5 years to be published."
110,886,TRUE,"2025-04-07 01:55:04","Yes","Health sciences","Full professor","Man",65,"United States of America",NA,"Lab/online research",3,"Exploring and making sense of data; finding out about novel insights that contribute to a better understanding of our world.","Data analysis",7,0,5,5,5,5,1,3,5,1,0,0,0,0,1,1,0,0,0,0,"Satisfaction that the data support my hypotheses and contribute to a better understanding of the topic. "
111,194,TRUE,"2025-04-10 11:37:50","Yes","Life sciences","Associate professor","Woman",53,"Belgium",NA,"Lab/online research",2,"I love what I do and I hope my work will benefit women","Data collection",6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,"It's an interesting project also matching my background. Plus, it's from a student from a developing country. "
112,614,TRUE,"2025-04-14 11:19:12","Yes","Physical sciences","Postdoc","Man",45,"Spain",NA,"Lab/online research",0,"precarious job positions","Data analysis",7,7,5,6,5,6,0,0,0,0,2,0,0,1,4,5,1,0,0,0,"I consider the task interesting and amusing, but I cannot totally explain why. Maybe because it is a non-repetitive, challenging one, whose results may benefit many people. "
113,221,TRUE,"2025-04-17 18:18:12","Yes","Social sciences","Postdoc","Man",41,"Germany",NA,"Lab/online research",2,"fun work, free time, lots of traveling, I decide what I do, surrounded by intellgent people","Report writing",6,5,5,5,5,5,5,4,3,3,2,3,1,1,0,4,0,0,0,2,"it's a new theory of a phenomenon no one else has investigated yet, so it's interestign and fun to work on it. There's much pride, admiration, and love in it too"
114,145,FALSE,"2025-04-20 12:09:40","Yes","Life sciences","Associate professor","Man",40,"India",NA,"Lab/online research",0,"Although there is always excitement of trying new things as part of the job, the monitory returns are not sufficient.","Waiting for journal's response",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
115,169,FALSE,"2025-04-20 12:10:13","Yes","Health sciences","Associate professor","Man",37,"India",NA,"Clinical research",1,"Too much work","Data collection",7,4,7,4,4,5,3,3,1,2,3,4,5,3,3,0,0,0,0,0,""
116,1142,FALSE,"2025-04-20 12:22:26","Yes","Health sciences","Full professor","Man",60,"Turkey",NA,"Clinical research",2,"creating benefit for the society and the humans.","Reviews and revisions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
117,519,FALSE,"2025-04-20 12:29:37","Yes","Social sciences","Associate professor","Woman",49,"Croatia",NA,"Field research",3,"Sense of fulfillment","Preparations (IRB permit, preregistration, experiment preparations)",7,6,6,6,7,6,6,7,5,4,2,1,1,1,1,5,0,0,0,1,"Very interested in a topic of my research, but also worried."
118,147,FALSE,"2025-04-20 12:53:56","Yes","Social sciences","Associate professor","Woman",50,"Kenya",NA,"Field research",3,"creating impact","Waiting for journal's response",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
119,116,FALSE,"2025-04-20 13:46:25","Yes","Physical sciences","Associate professor","Man",41,"China",NA,"Lab/online research",2,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
120,747,FALSE,"2025-04-20 14:30:48","Yes","Life sciences","Assistant professor","Woman",47,"United States of America",NA,"Lab/online research",-2,"Feel like an imposter, not good at it, stressed with the demands (grant submissions, supervising personnel)","Data collection",4,5,5,5,0,0,0,0,4,0,4,5,4,3,3,1,0,4,0,0,"Pride and joy - due to my ability to perform experiments well and obtain reliable data. Guilt - due to my messed up work schedule (inability to come to work early/on time, I stay up late and prefer to work in the afternoon)."
121,254,FALSE,"2025-04-20 16:41:40","Yes","Life sciences","Associate professor","Man",54,"Italy",NA,"Lab/online research",-1,"","Data analysis",4,1,2,1,2,2,0,1,3,0,3,3,2,2,3,3,1,0,0,0,""
122,16938,FALSE,"2025-04-20 17:00:01","Yes","Social sciences","Full professor","Man",63,"France",NA,"Lab/online research",2,"The extent of collegiality and institutional direction","Reviews and revisions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
123,58,FALSE,"2025-04-20 18:41:09","Yes","Life sciences","Associate professor","Woman",48,"Hungary",NA,"Lab/online research",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
124,51716,FALSE,"2025-04-21 02:22:33","Yes","Health sciences","PhD student","Man",35,"South Korea",NA,"Clinical research",-1,"The Korean people have traditionally looked down upon researchers.","Post-project stage (you recently finished the project)",1,6,7,7,6,0,0,1,7,0,2,0,0,0,0,0,6,5,1,5,"The professors are assholes who don't know shit."
125,271,FALSE,"2025-04-21 10:32:07","Yes","Health sciences","Associate professor","Woman",34,"India",NA,"Clinical research",2,"Self satisfaction ","Post-project stage (you recently finished the project)",3,2,6,5,5,5,3,5,6,5,2,0,0,0,0,0,0,5,0,0,"Pride as I was able to complete my project in due time without doing any undue favours "
126,79040,FALSE,"2025-04-21 18:07:31","Yes","Health sciences","Full professor","Woman",45,"Italy",NA,"Lab/online research",2,"I love my work","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
127,236,TRUE,"2025-04-22 17:55:56","Yes","Health sciences","Postdoc","Woman",33,"Italy",NA,"Clinical research",0,"lack of guidance and career progression","Post-project stage (you recently finished the project)",6,5,6,5,5,5,3,4,6,5,4,2,4,4,5,7,6,4,0,7,""
128,121,FALSE,"2025-04-25 15:19:16","Yes","Health sciences","Associate professor","Man",47,"Portugal",NA,"Field research",3,"","Waiting for journal's response",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
129,270,FALSE,"2025-04-25 16:21:50","Yes","Social sciences","Full professor","Man",59,"United Kingdom of Great Britain and Northern Ireland",NA,"Lab/online research",3,"amazing freedom to work on problems I find interestings, with people I really like","Report writing",6,3,6,5,6,5,0,0,5,0,0,0,0,0,3,1,0,0,0,0,"A very elegant new theory, which I and my colleagues think is super-cool, whether or not anyone else will."
130,69,FALSE,"2025-04-25 18:27:44","Yes","Social sciences","Full professor","Man",50,"United States of America",NA,"Lab/online research",2,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
131,55,FALSE,"2025-04-25 19:25:15","Yes","Social sciences","Associate professor","Woman",45,"United States of America",NA,"Lab/online research",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
133,402,FALSE,"2025-04-26 02:28:52","Yes","Life sciences","Assistant professor","Man",40,"China",NA,"Lab/online research",2,"knowldege and skills obtained over the years","Reviews and revisions",7,3,7,6,5,5,7,7,7,7,0,0,0,0,0,0,0,0,0,0,"I am glad that my work which was conceived by myself despite doubts, challenges will mostly likely be in the public domain and I am very optimistic that it will inspire many new studies. "
